GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializerModifier,0,107,1,13,0,24,1,9,0,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializerBase,228,534,32,80,48,141,28,42,3,11
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanPropertyWriter,34,111,12,18,9,32,8,11,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,ToXmlGenerator,848,1250,105,151,214,335,107,89,23,45
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializer,73,46,7,3,15,13,12,6,8,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlSerializerProvider,155,410,30,62,39,120,32,33,3,16
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,UnwrappingXmlBeanSerializer,99,22,2,2,22,8,13,3,11,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,ToXmlGenerator.Feature,5,83,1,5,1,16,1,8,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,TypeUtil,3,26,1,9,1,8,2,5,1,1
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,XmlInfo,0,46,0,8,0,10,0,9,0,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.FixedSpaceIndenter,10,3,0,0,5,1,3,1,3,1
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.Lf2SpacesIndenter,22,44,2,2,4,12,2,4,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,Stax2JacksonReaderAdapter,21,21,0,2,4,7,0,4,0,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,AnnotationUtil,3,108,0,24,1,28,1,16,1,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,StaxUtil,34,160,14,28,9,38,15,15,1,8
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.NopIndenter,7,0,0,0,4,0,4,0,4,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,CaseInsensitiveNameSet,11,54,3,5,3,12,5,4,2,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,XmlRootNameLookup,2,166,1,21,1,43,1,18,0,8
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter,186,336,30,20,57,93,35,22,14,18
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,StaxUtil.Base64Mapper,2,52,1,1,1,11,1,3,0,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,FromXmlParser.Feature,0,74,0,6,0,15,0,9,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,ElementWrapper,42,67,6,10,11,15,6,12,2,8
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlTokenStream,149,764,27,100,31,209,28,76,4,28
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,WrapperHandlingDeserializer,45,154,3,27,8,42,6,18,3,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlBeanDeserializerModifier,1,174,5,33,1,50,5,18,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,FromXmlParser,889,968,142,126,218,271,122,86,29,37
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlReadContext,116,126,10,6,27,38,11,16,5,13
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlDeserializationContext,20,97,2,8,5,26,4,14,2,11
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlTextDeserializer,45,70,3,3,8,18,5,6,3,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.jaxb,XmlJaxbAnnotationIntrospector,14,0,0,0,8,0,6,0,6,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver,17,0,0,0,4,0,3,0,3,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlFactoryBuilder,282,88,14,4,45,28,24,14,17,12
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlNameProcessors.AlwaysOnBase64NameProcessor,0,33,0,0,0,7,0,4,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlNameProcessors.PassthroughProcessor,0,5,0,0,0,3,0,3,0,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlFactory,267,864,50,66,77,205,58,64,16,48
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlMapper.Builder,23,133,3,9,5,23,3,13,1,9
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlNameProcessor.XmlName,0,3,0,0,0,1,0,1,0,1
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,JacksonXmlModule,0,57,0,2,0,17,0,6,0,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,JacksonXmlAnnotationIntrospector,15,221,6,40,4,63,7,32,2,14
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlNameProcessors.Base64NameProcessor,0,67,0,4,0,14,0,6,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlTypeResolverBuilder.XmlClassNameIdResolver,0,17,0,0,0,4,0,3,0,3
