rev, All, Ekstazi, rts-trace
rev_1, 432, 432, 432
rev_2, 432, 0, 0
rev_3, 432, 69, 0
rev_4, 432, 60, 27
rev_5, 434, 51, 12
rev_6, 434, 0, 0
rev_7, 438, 14, 0
rev_8, 438, 0, 0
rev_9, 438, 0, 0
rev_10, 438, 419, 0
rev_11, 438, 419, 70
rev_12, 438, 421, 75
rev_13, 438, 438, 0
rev_14, 438, 41, 28
rev_15, 438, 35, 4
rev_16, 438, 10, 1
rev_17, 438, 400, 123
rev_18, 438, 5, 1
rev_19, 438, 63, 11
rev_20, 438, 385, 30
rev_21, 438, 0, 0
rev_22, 438, 421, 0
rev_23, 438, 0, 0
rev_24, 438, 275, 0
rev_25, 438, 0, 0
rev_26, 438, 370, 74
rev_27, 438, 0, 0
rev_28, 439, 371, 0
rev_29, 440, 372, 0
rev_30, 440, 0, 130
rev_31, 440, 0, 0
rev_32, 444, 292, 3
rev_33, 440, 288, 3
rev_34, 443, 210, 0
rev_35, 444, 340, 98
rev_36, 448, 296, 3
rev_37, 448, 63, 33
rev_38, 448, 59, 4
rev_39, 448, 63, 30
rev_40, 448, 35, 3
rev_41, 448, 0, 0
rev_42, 448, 0, 5
rev_43, 448, 0, 4
rev_44, 448, 0, 0
rev_45, 0, 0
rev_46, 448, 5, 1
rev_47, 448, 0, 0
rev_48, 448, 12, 0
rev_49, 448, 283, 0
rev_50, 448, 0, 0
