rev, All, Ekstazi, rts-trace
rev_1, 309, 309, 309
rev_2, 309, 0, 0
rev_3, 309, 0, 0
rev_4, 309, 9, 4
rev_5, 309, 1, 1
rev_6, 309, 1, 1
rev_7, 309, 1, 1
rev_8, 309, 1, 0
rev_9, 309, 1, 1
rev_10, 309, 0, 0
rev_11, 309, 0, 0
rev_12, 309, 1, 0
rev_13, 309, 0, 0
rev_14, 309, 53, 0
rev_15, 309, 0, 1
rev_16, 309, 0, 0
rev_17, 309, 0, 0
rev_18, 309, 0, 0
rev_19, 309, 32, 1
rev_20, 309, 39, 2
rev_21, 313, 54, 0
rev_22, 313, 0, 0
rev_23, 313, 49, 6
rev_24, 313, 0, 0
rev_25, 313, 49, 0
rev_26, 313, 0, 0
rev_27, 313, 0, 0
rev_28, 313, 49, 1
rev_29, 313, 59, 23
rev_30, 313, 80, 11
rev_31, 313, 59, 0
rev_32, 313, 34, 1
rev_33, 313, 34, 4
rev_34, 313, 32, 0
rev_35, 313, 32, 0
rev_36, 312, 31, 1
rev_37, 313, 32, 5
rev_38, 313, 0, 0
rev_39, 313, 84, 0
rev_40, 313, 0, 0
rev_41, 313, 163, 20
rev_42, 313, 16, 0
rev_43, 313, 0, 10
rev_44, 313, 0, 0
rev_45, 313, 65, 9
rev_46, 313, 161, 0
rev_47, 313, 0, 8
rev_48, 313, 0, 0
rev_49, 313, 0, 0
rev_50, 313, 24, 10
