ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/CatTest,com/zaxxer/nuprocess/CatTest,Normal,247da531d5993b22ea7cccb0696caf4f3fc339c5,Loader@251a69d7:com/zaxxer/nuprocess/CatTest
1,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/NuProcessHandler,com/zaxxer/nuprocess/NuProcessHandler,Normal,eaf6a948248225c129ffd823b89715dd91bb09e1,Loader@251a69d7:com/zaxxer/nuprocess/NuProcessHandler
2,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/DirectWriteTest,com/zaxxer/nuprocess/DirectWriteTest,Normal,ccaee3bc101fc4eebd11760f2049c8d4bc5e82c0,Loader@251a69d7:com/zaxxer/nuprocess/DirectWriteTest
3,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/EnvironmentTest,com/zaxxer/nuprocess/EnvironmentTest,Normal,69aa2924bf5b4bf5693e58e1b08e86ff9f3dc392,Loader@251a69d7:com/zaxxer/nuprocess/EnvironmentTest
4,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/FastExitingProcessTest,com/zaxxer/nuprocess/FastExitingProcessTest,Normal,cf8fe9d07c609002e5975951609bf0341868bb30,Loader@251a69d7:com/zaxxer/nuprocess/FastExitingProcessTest
5,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/InterruptTest,com/zaxxer/nuprocess/InterruptTest,Normal,807d89cbf1a669ecc45002c90a1ad4bb7575cde0,Loader@251a69d7:com/zaxxer/nuprocess/InterruptTest
6,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/linux/EpollEventTest,com/zaxxer/nuprocess/linux/EpollEventTest,Normal,29ef7930cb6de7f12a27b23e5a76027a208a8db9,Loader@251a69d7:com/zaxxer/nuprocess/linux/EpollEventTest
7,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/ThreadedTest,com/zaxxer/nuprocess/ThreadedTest,Normal,8cd62792473e8b427a04810f4171d27d103ff474,Loader@251a69d7:com/zaxxer/nuprocess/ThreadedTest
8,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/,com/zaxxer/nuprocess/CatTest$LottaProcessListener,com/zaxxer/nuprocess/CatTest$LottaProcessListener,Normal,f102a3d80ee2fd9db6fa98687164784d518e3b2e,Loader@251a69d7:com/zaxxer/nuprocess/CatTest$LottaProcessListener
9,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/NuAbstractProcessHandler,com/zaxxer/nuprocess/NuAbstractProcessHandler,Normal,876fbee67d87d39bcbf161acf6259ce5056b8646,Loader@251a69d7:com/zaxxer/nuprocess/NuAbstractProcessHandler
10,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/NuProcessBuilder,com/zaxxer/nuprocess/NuProcessBuilder,Normal,a8009141e61a0e6d84146716460da7fe775f3502,Loader@251a69d7:com/zaxxer/nuprocess/NuProcessBuilder
11,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/linux/LinProcessFactory,com/zaxxer/nuprocess/linux/LinProcessFactory,Normal,d28322fc56453bc2acf196ee50a3df14e98bad85,Loader@251a69d7:com/zaxxer/nuprocess/linux/LinProcessFactory
12,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/NuProcessFactory,com/zaxxer/nuprocess/NuProcessFactory,Normal,c73c41df0c7f049d73f86593ed05d14f178e0960,Loader@251a69d7:com/zaxxer/nuprocess/NuProcessFactory
13,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/NuProcess,com/zaxxer/nuprocess/NuProcess,Normal,358c727b979508ed3bc893b575b1cfed7dea6848,Loader@251a69d7:com/zaxxer/nuprocess/NuProcess
14,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/linux/LinuxProcess,com/zaxxer/nuprocess/linux/LinuxProcess,Normal,a305c054ab3fa0d0dd3999ec5f210c59d1206af7,Loader@251a69d7:com/zaxxer/nuprocess/linux/LinuxProcess
15,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/BasePosixProcess,com/zaxxer/nuprocess/internal/BasePosixProcess,Normal,7b8acd940f29d5bd63b3a951db2c223337f630e1,Loader@251a69d7:com/zaxxer/nuprocess/internal/BasePosixProcess
16,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/Constants,com/zaxxer/nuprocess/internal/Constants,Normal,8e055b21fee29f695f51be701606865c4afe5348,Loader@251a69d7:com/zaxxer/nuprocess/internal/Constants
17,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/Constants$OperatingSystem,com/zaxxer/nuprocess/internal/Constants$OperatingSystem,Normal,55dbf1d20e46a10865aa13fca90ff54a28d61b88,Loader@251a69d7:com/zaxxer/nuprocess/internal/Constants$OperatingSystem
18,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/IEventProcessor,com/zaxxer/nuprocess/internal/IEventProcessor,Normal,b3fafa23a13c1b4fa5bb7925518af8c3acad0ab5,Loader@251a69d7:com/zaxxer/nuprocess/internal/IEventProcessor
19,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/BasePosixProcess$1,com/zaxxer/nuprocess/internal/BasePosixProcess$1,Normal,58980863eefd056d5ae15272046e4b76226d1b1d,Loader@251a69d7:com/zaxxer/nuprocess/internal/BasePosixProcess$1
20,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/linux/LibEpoll,com/zaxxer/nuprocess/linux/LibEpoll,Normal,1dccbd625083eac1ba71f43d47890de0989738b6,Loader@251a69d7:com/zaxxer/nuprocess/linux/LibEpoll
21,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/linux/ProcessEpoll,com/zaxxer/nuprocess/linux/ProcessEpoll,Normal,816b8121c4346265aaa24901f955d52f69fce5ee,Loader@251a69d7:com/zaxxer/nuprocess/linux/ProcessEpoll
22,file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/,com/zaxxer/nuprocess/internal/BaseEventProcessor,com/zaxxer/nuprocess/internal/BaseEventProcessor,Normal,3a33db45bba862e5ec83471a944d014022d5c1dd,Loader@251a69d7:com/zaxxer/nuprocess/internal/BaseEventProcessor
