DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,47,-1,RESERVED,V,"null"
1,0,0,47,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,47,0,LABEL,I,"null"
3,0,0,47,1,LINE_NUMBER,V,"null"
4,0,0,47,3,CALL,V,"opcode=INVOKESPECIAL,owner=java/lang/Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,47,3,CALL_RETURN,V,"type=V"
6,0,0,47,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,51,4,LABEL,I,"null"
8,0,0,51,5,LINE_NUMBER,V,"null"
9,0,0,51,7,NEW_OBJECT,V,"type=org/junit/rules/TemporaryFolder"
10,0,0,51,9,CALL,V,"opcode=INVOKESPECIAL,owner=org/junit/rules/TemporaryFolder,name=<init>,desc=()V,methodtype=constructor,created=7"
11,0,0,51,9,CALL_RETURN,V,"type=V"
12,0,0,51,9,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=7"
13,0,0,51,10,PUT_INSTANCE_FIELD,Ljava/lang/Object;,"owner=com/zaxxer/nuprocess/CatTest,name=tmp,type=Lorg/junit/rules/TemporaryFolder;"
14,0,0,51,10,PUT_INSTANCE_FIELD_VALUE,Ljava/lang/Object;,"owner=com/zaxxer/nuprocess/CatTest,name=tmp,type=Lorg/junit/rules/TemporaryFolder;"
15,0,0,51,11,METHOD_NORMAL_EXIT,V,"null"
16,0,0,51,13,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=13,handler=13"
17,0,0,51,13,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
18,0,1,57,-1,RESERVED,V,"null"
19,0,1,57,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
20,0,1,57,0,LABEL,I,"null"
21,0,1,57,1,LINE_NUMBER,V,"null"
22,0,1,57,3,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
23,0,1,57,4,PUT_INSTANCE_FIELD,Ljava/lang/Object;,"owner=com/zaxxer/nuprocess/CatTest,name=command,type=Ljava/lang/String;"
24,0,1,57,4,PUT_INSTANCE_FIELD_VALUE,Ljava/lang/Object;,"owner=com/zaxxer/nuprocess/CatTest,name=command,type=Ljava/lang/String;"
25,0,1,58,5,LABEL,I,"null"
26,0,1,58,6,LINE_NUMBER,V,"null"
