Weaving configuration: EXEC,CALL,FIELD,ARRAY,SYNC,LABEL,PARAM,LOCAL,OBJECT,LINE
Selected File Format: Frequency
Excluded by name filter: sun/launcher/LauncherHelper
Excluded by name filter: sun/nio/fs/UnixFileKey
Excluded by name filter: org/apache/maven/surefire/booter/ForkedBooter
Excluded by name filter: java/lang/reflect/InvocationTargetException
Excluded by name filter: org/apache/maven/surefire/report/StackTraceWriter
Excluded by name filter: org/apache/maven/surefire/booter/ProviderConfiguration
Excluded by name filter: org/apache/maven/surefire/booter/StartupConfiguration
Excluded by name filter: org/apache/maven/surefire/suite/RunResult
Excluded by name filter: org/apache/maven/surefire/testset/TestSetFailedException
Excluded by name filter: org/apache/maven/surefire/providerapi/SurefireProvider
Excluded by name filter: org/apache/maven/surefire/booter/SystemPropertyManager
Excluded by name filter: org/apache/maven/surefire/booter/PropertiesWrapper
Excluded by name filter: org/apache/maven/surefire/booter/KeyValueSource
Excluded by name filter: java/lang/IllegalStateException
Excluded by name filter: java/util/concurrent/ConcurrentHashMap$KeySetView
Excluded by name filter: java/util/Collections$SynchronizedCollection
Excluded by name filter: java/util/Collections$SynchronizedSet
Excluded by name filter: java/util/concurrent/ConcurrentHashMap$KeyIterator
Excluded by name filter: org/apache/maven/surefire/booter/BooterDeserializer
Excluded by name filter: org/apache/maven/surefire/booter/TypeEncodedValue
Excluded by name filter: org/apache/maven/surefire/testset/DirectoryScannerParameters
Excluded by name filter: org/apache/maven/surefire/util/RunOrder
Excluded by name filter: org/apache/maven/surefire/testset/RunOrderParameters
Excluded by name filter: org/apache/maven/surefire/testset/TestArtifactInfo
Excluded by name filter: org/apache/maven/surefire/testset/TestRequest
Excluded by name filter: org/apache/maven/surefire/report/ReporterConfiguration
Excluded by name filter: org/apache/maven/surefire/booter/ClassLoaderConfiguration
Excluded by name filter: org/apache/maven/surefire/booter/ClasspathConfiguration
Excluded by name filter: org/apache/maven/surefire/booter/Classpath
Excluded by name filter: java/net/MalformedURLException
Excluded by name filter: org/apache/maven/surefire/booter/IsolatedClassLoader
Excluded by name filter: java/net/URLClassLoader
Excluded by name filter: org/apache/maven/surefire/booter/SurefireExecutionException
Excluded by name filter: java/util/Collections$UnmodifiableList
Excluded by name filter: java/util/Collections$UnmodifiableRandomAccessList
Excluded by name filter: org/apache/maven/surefire/booter/SurefireReflector
Excluded by name filter: org/apache/maven/surefire/report/ReporterFactory
Excluded by name filter: org/apache/maven/surefire/util/SurefireReflectionException
Excluded by name filter: org/apache/maven/surefire/booter/ForkingReporterFactory
Excluded by name filter: org/apache/maven/surefire/report/RunListener
Excluded by name filter: org/apache/maven/surefire/booter/BaseProviderFactory
Excluded by name filter: org/apache/maven/surefire/booter/DirectoryScannerParametersAware
Excluded by name filter: org/apache/maven/surefire/booter/ReporterConfigurationAware
Excluded by name filter: org/apache/maven/surefire/booter/SurefireClassLoadersAware
Excluded by name filter: org/apache/maven/surefire/booter/TestRequestAware
Excluded by name filter: org/apache/maven/surefire/booter/ProviderPropertiesAware
Excluded by name filter: org/apache/maven/surefire/providerapi/ProviderParameters
Excluded by name filter: org/apache/maven/surefire/booter/TestArtifactInfoAware
Excluded by name filter: org/apache/maven/surefire/booter/RunOrderParametersAware
Excluded by name filter: org/apache/maven/surefire/report/ConsoleLogger
Excluded by name filter: org/apache/maven/surefire/util/DirectoryScanner
Excluded by name filter: org/apache/maven/surefire/util/RunOrderCalculator
Excluded by name filter: org/apache/maven/surefire/util/ScanResult
Excluded by name filter: org/apache/maven/surefire/util/ReflectionUtils
Excluded by name filter: java/lang/IllegalAccessException
Excluded by name filter: java/lang/InstantiationException
Excluded by name filter: org/apache/maven/surefire/junit4/JUnit4Provider
Excluded by name filter: org/apache/maven/surefire/providerapi/AbstractProvider
Excluded by name filter: org/junit/runner/notification/RunListener
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnitTestFailureListener
Excluded by name filter: org/apache/maven/surefire/report/ReportEntry
Excluded by name filter: org/apache/maven/surefire/util/ScannerFilter
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnit4RunListener
Excluded by name filter: org/apache/maven/surefire/util/DefaultScanResult
Excluded by name filter: org/apache/maven/surefire/util/DefaultRunOrderCalculator
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnit4RunListenerFactory
Excluded by name filter: java/util/AbstractSequentialList
Excluded by name filter: java/util/LinkedList
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnit4TestChecker
Excluded by name filter: org/apache/maven/surefire/common/junit3/JUnit3TestChecker
Excluded by name filter: org/apache/maven/surefire/NonAbstractClassFilter
Excluded by name filter: junit/framework/Test
Excluded by name filter: org/junit/runner/RunWith
Excluded by name filter: jdk/internal/loader/URLClassPath$FileLoader$1
Weaving executed: Class=com/zaxxer/nuprocess/CatTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=247da531d5993b22ea7cccb0696caf4f3fc339c5, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/CatTest
Weaving executed: Class=com/zaxxer/nuprocess/NuProcessHandler, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/classes/, LogLevel=Normal, ClassHash=eaf6a948248225c129ffd823b89715dd91bb09e1, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/NuProcessHandler
Excluded by name filter: java/lang/InterruptedException
Excluded by name filter: java/lang/Class$AnnotationData
Excluded by name filter: sun/reflect/generics/parser/SignatureParser
Excluded by name filter: sun/reflect/generics/tree/TypeArgument
Excluded by name filter: sun/reflect/generics/tree/TypeTree
Excluded by name filter: sun/reflect/generics/tree/Tree
Excluded by name filter: sun/reflect/generics/tree/SimpleClassTypeSignature
Excluded by name filter: sun/reflect/generics/tree/FieldTypeSignature
Excluded by name filter: sun/reflect/generics/tree/BaseType
Excluded by name filter: sun/reflect/generics/tree/TypeSignature
Excluded by name filter: sun/reflect/generics/tree/ReturnType
Excluded by name filter: sun/reflect/generics/tree/ClassTypeSignature
Excluded by name filter: sun/reflect/generics/scope/ClassScope
Excluded by name filter: sun/reflect/generics/scope/Scope
Excluded by name filter: sun/reflect/generics/scope/AbstractScope
Excluded by name filter: sun/reflect/generics/factory/CoreReflectionFactory
Excluded by name filter: sun/reflect/generics/factory/GenericsFactory
Excluded by name filter: sun/reflect/generics/visitor/Reifier
Excluded by name filter: sun/reflect/generics/visitor/TypeTreeVisitor
Excluded by name filter: org/junit/Before
Excluded by name filter: java/lang/reflect/GenericArrayType
Excluded by name filter: sun/reflect/annotation/AnnotationType
Excluded by name filter: sun/reflect/annotation/AnnotationType$1
Excluded by name filter: java/lang/annotation/Retention
Excluded by name filter: java/lang/annotation/Inherited
Excluded by name filter: java/lang/annotation/RetentionPolicy
Excluded by name filter: sun/reflect/annotation/AnnotationTypeMismatchExceptionProxy
Excluded by name filter: sun/reflect/annotation/ExceptionProxy
Excluded by name filter: sun/reflect/annotation/AnnotationParser$1
Excluded by name filter: sun/reflect/annotation/AnnotationInvocationHandler
Excluded by name filter: java/lang/reflect/InvocationHandler
Excluded by name filter: java/lang/reflect/Proxy
Excluded by name filter: java/lang/reflect/Proxy$1
Excluded by name filter: jdk/internal/loader/AbstractClassLoaderValue$Sub
Excluded by name filter: java/lang/reflect/Proxy$ProxyBuilder
Excluded by name filter: java/util/Collections$SingletonList
Excluded by name filter: java/util/Collections$1
Excluded by name filter: java/lang/PublicMethods
Excluded by name filter: java/util/LinkedHashMap$LinkedValues
Excluded by name filter: java/util/LinkedHashMap$LinkedValueIterator
Excluded by name filter: java/lang/module/ModuleDescriptor$Builder
Excluded by name filter: jdk/internal/module/Checks
Excluded by name filter: java/lang/WeakPairMap$Pair$Weak
Excluded by name filter: java/lang/WeakPairMap$WeakRefPeer
Excluded by name filter: java/lang/WeakPairMap$Pair$Weak$1
Excluded by name filter: java/lang/reflect/ProxyGenerator
Excluded by name filter: java/lang/reflect/ProxyGenerator$ProxyMethod
Excluded by name filter: java/util/StringJoiner
Excluded by name filter: java/util/Arrays$ArrayList
Excluded by name filter: java/lang/reflect/ProxyGenerator$PrimitiveTypeInfo
Excluded by name filter: jdk/internal/org/objectweb/asm/Edge
Excluded by name filter: jdk/proxy1/$Proxy0
Excluded by name filter: java/lang/reflect/Proxy$ProxyBuilder$1
Excluded by name filter: java/lang/annotation/Target
Excluded by name filter: jdk/proxy2/$Proxy1
Excluded by name filter: java/lang/NoSuchMethodError
Excluded by name filter: java/lang/reflect/UndeclaredThrowableException
Excluded by name filter: org/junit/Test
Excluded by name filter: org/junit/Test$None
Excluded by name filter: jdk/proxy2/$Proxy2
Weaving executed: Class=com/zaxxer/nuprocess/DirectWriteTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=ccaee3bc101fc4eebd11760f2049c8d4bc5e82c0, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/DirectWriteTest
Weaving executed: Class=com/zaxxer/nuprocess/EnvironmentTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=69aa2924bf5b4bf5693e58e1b08e86ff9f3dc392, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/EnvironmentTest
Weaving executed: Class=com/zaxxer/nuprocess/FastExitingProcessTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=cf8fe9d07c609002e5975951609bf0341868bb30, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/FastExitingProcessTest
Weaving executed: Class=com/zaxxer/nuprocess/InterruptTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=807d89cbf1a669ecc45002c90a1ad4bb7575cde0, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/InterruptTest
Weaving executed: Class=com/zaxxer/nuprocess/linux/EpollEventTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=29ef7930cb6de7f12a27b23e5a76027a208a8db9, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/linux/EpollEventTest
Weaving executed: Class=com/zaxxer/nuprocess/ThreadedTest, LoadedFrom=file:/mnt/c/Users/fujiwara%20yuma/NuProcess/target/test-classes/, LogLevel=Normal, ClassHash=8cd62792473e8b427a04810f4171d27d103ff474, ClassLoaderID=Loader@251a69d7:com/zaxxer/nuprocess/ThreadedTest
Excluded by name filter: org/apache/maven/surefire/util/TestsToRun
Excluded by name filter: org/apache/maven/surefire/booter/ForkingRunListener
Excluded by name filter: org/apache/maven/surefire/report/ConsoleOutputReceiver
Excluded by name filter: java/util/Properties$EntrySet
Excluded by name filter: java/util/concurrent/ConcurrentHashMap$EntrySetView
Excluded by name filter: java/util/concurrent/ConcurrentHashMap$EntryIterator
Excluded by name filter: java/util/concurrent/ConcurrentHashMap$MapEntry
Excluded by name filter: java/util/Hashtable$Enumerator
Excluded by name filter: org/apache/maven/surefire/util/internal/StringUtils
Excluded by name filter: org/apache/maven/surefire/report/ConsoleOutputCapture
Excluded by name filter: org/apache/maven/surefire/report/ConsoleOutputCapture$ForwardingPrintStream
Excluded by name filter: java/lang/InheritableThreadLocal
Excluded by name filter: java/util/regex/Pattern$Dollar
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnit4Reflector
Excluded by name filter: org/junit/Ignore
Excluded by name filter: org/junit/runner/Result
Excluded by name filter: org/junit/runner/Result$Listener
Excluded by name filter: org/junit/runner/Result$SerializedForm
Excluded by name filter: java/io/ObjectStreamClass
Excluded by name filter: java/io/ObjectStreamClass$Caches
Excluded by name filter: java/io/ObjectStreamClass$Caches$1
Excluded by name filter: java/io/ClassCache
Excluded by name filter: java/io/ClassCache$1
Excluded by name filter: java/io/ObjectStreamClass$Caches$2
Excluded by name filter: java/lang/ClassValue$ClassValueMap
Excluded by name filter: java/io/Externalizable
Excluded by name filter: java/io/ObjectStreamClass$2
Excluded by name filter: jdk/internal/reflect/UnsafeFieldAccessorFactory
Excluded by name filter: jdk/internal/reflect/UnsafeQualifiedStaticLongFieldAccessorImpl
Excluded by name filter: jdk/internal/reflect/UnsafeQualifiedStaticFieldAccessorImpl
Excluded by name filter: java/util/ComparableTimSort
Excluded by name filter: jdk/internal/reflect/GeneratedSerializationConstructorAccessor1
Excluded by name filter: jdk/internal/reflect/SerializationConstructorAccessorImpl
Excluded by name filter: java/io/ObjectOutputStream
Excluded by name filter: java/io/ObjectOutput
Excluded by name filter: java/io/ObjectStreamConstants
Excluded by name filter: java/io/ObjectInputStream
Excluded by name filter: java/io/ObjectInput
Excluded by name filter: java/util/Spliterators$ArraySpliterator
Excluded by name filter: java/lang/CloneNotSupportedException
Excluded by name filter: java/io/ClassCache$CacheRef
Excluded by name filter: java/io/ObjectStreamClass$FieldReflectorKey
Excluded by name filter: java/io/ObjectStreamClass$FieldReflector
Excluded by name filter: org/junit/runner/notification/RunNotifier
Excluded by name filter: org/junit/runner/notification/StoppedByUserException
Excluded by name filter: org/junit/runner/notification/SynchronizedRunListener
Excluded by name filter: org/junit/runner/notification/RunListener$ThreadSafe
Excluded by name filter: java/lang/annotation/Documented
Excluded by name filter: jdk/proxy2/$Proxy3
Excluded by name filter: java/util/LinkedList$ListItr
Excluded by name filter: org/apache/maven/surefire/common/junit4/JUnit4ProviderUtil
Excluded by name filter: org/junit/runner/Request
Excluded by name filter: org/junit/internal/requests/FilterRequest
Excluded by name filter: org/junit/runner/Request$1
Excluded by name filter: org/junit/runner/Runner
Excluded by name filter: org/junit/runner/Describable
Excluded by name filter: org/junit/internal/runners/ErrorReportingRunner
Excluded by name filter: org/junit/internal/requests/ClassRequest
Excluded by name filter: org/junit/internal/requests/SortingRequest
Excluded by name filter: org/junit/runners/model/InitializationError
Excluded by name filter: org/junit/runners/model/RunnerBuilder
Excluded by name filter: org/junit/internal/builders/AllDefaultPossibilitiesBuilder
Excluded by name filter: org/junit/runner/Computer
Excluded by name filter: org/junit/runner/Description
Excluded by name filter: org/junit/runner/manipulation/Filter
Excluded by name filter: org/junit/runner/JUnitCore
Excluded by name filter: org/junit/internal/TextListener
Excluded by name filter: org/junit/internal/runners/JUnit38ClassRunner
Excluded by name filter: org/junit/runner/manipulation/Filterable
Excluded by name filter: org/junit/runner/manipulation/Sortable
Excluded by name filter: org/junit/internal/JUnitSystem
Excluded by name filter: org/junit/runner/Computer$1
Excluded by name filter: org/junit/runners/Suite
Excluded by name filter: org/junit/runners/ParentRunner
Excluded by name filter: org/junit/internal/builders/SuiteMethodBuilder
Excluded by name filter: org/junit/internal/builders/NullBuilder
Excluded by name filter: org/junit/internal/AssumptionViolatedException
Excluded by name filter: org/hamcrest/SelfDescribing
Excluded by name filter: org/junit/runners/model/Statement
Excluded by name filter: org/junit/runners/ParentRunner$2
Excluded by name filter: org/junit/rules/RunRules
Excluded by name filter: org/junit/internal/runners/statements/RunAfters
Excluded by name filter: org/junit/internal/runners/statements/RunBefores
Excluded by name filter: org/junit/runner/manipulation/NoTestsRemainException
Excluded by name filter: org/junit/runners/model/RunnerScheduler
Excluded by name filter: org/junit/validator/TestClassValidator
Excluded by name filter: org/junit/validator/AnnotationsValidator
Excluded by name filter: org/junit/validator/AnnotationsValidator$AnnotatableValidator
Excluded by name filter: org/junit/validator/AnnotationsValidator$ClassValidator
Excluded by name filter: org/junit/validator/AnnotationValidatorFactory
Excluded by name filter: org/junit/validator/AnnotationsValidator$MethodValidator
Excluded by name filter: org/junit/validator/AnnotationsValidator$FieldValidator
Excluded by name filter: org/junit/validator/PublicClassValidator
Excluded by name filter: org/junit/internal/builders/IgnoredBuilder
Excluded by name filter: org/junit/internal/builders/IgnoredClassRunner
Excluded by name filter: org/junit/internal/builders/AnnotatedBuilder
Excluded by name filter: org/junit/internal/runners/SuiteMethod
Excluded by name filter: org/junit/internal/builders/JUnit3Builder
Excluded by name filter: org/junit/internal/builders/JUnit4Builder
Excluded by name filter: org/junit/runners/BlockJUnit4ClassRunner
Excluded by name filter: java/util/Arrays$ArrayItr
Excluded by name filter: junit/framework/TestCase
Excluded by name filter: junit/framework/Assert
Excluded by name filter: org/junit/internal/runners/statements/FailOnTimeout
Excluded by name filter: org/junit/internal/runners/statements/ExpectException
Excluded by name filter: org/junit/internal/runners/statements/InvokeMethod
Excluded by name filter: org/junit/internal/runners/statements/Fail
Excluded by name filter: org/junit/runners/ParentRunner$1
Excluded by name filter: org/junit/runners/model/TestClass
Excluded by name filter: org/junit/runners/model/Annotatable
Excluded by name filter: org/junit/runners/model/FrameworkMember
Excluded by name filter: org/junit/runners/model/FrameworkMethod
Excluded by name filter: org/junit/runners/model/FrameworkField
Excluded by name filter: org/junit/runners/model/TestClass$FieldComparator
Excluded by name filter: org/junit/runners/model/TestClass$MethodComparator
Excluded by name filter: org/junit/internal/MethodSorter
Excluded by name filter: org/junit/internal/MethodSorter$1
Excluded by name filter: org/junit/internal/MethodSorter$2
Excluded by name filter: org/junit/FixMethodOrder
Excluded by name filter: org/junit/BeforeClass
Excluded by name filter: org/junit/rules/TemporaryFolder
Excluded by name filter: org/junit/rules/ExternalResource
Excluded by name filter: org/junit/rules/TestRule
Excluded by name filter: org/junit/Rule
Excluded by name filter: jdk/proxy2/$Proxy4
Excluded by name filter: jdk/internal/vm/annotation/IntrinsicCandidate
Excluded by name filter: com/sun/proxy/jdk/proxy1/$Proxy5
Excluded by name filter: java/lang/Deprecated
Excluded by name filter: jdk/internal/misc/ScopedMemoryAccess$Scope
Excluded by name filter: jdk/proxy1/$Proxy6
Excluded by name filter: java/util/LinkedHashMap$LinkedEntrySet
Excluded by name filter: java/util/LinkedHashMap$LinkedEntryIterator
Excluded by name filter: org/junit/AfterClass
Excluded by name filter: org/junit/internal/runners/rules/RuleMemberValidator
Excluded by name filter: org/junit/internal/runners/rules/RuleMemberValidator$RuleValidator
