ClassID,MethodID,ClassName,MethodName,MethodDesc,Access,SourceFileName,MethodHash
0,0,com/zaxxer/nuprocess/CatTest,<init>,()V,1,CatTest.java,e993c3dd7e40b8bd8c081dc988468dd3a4e5ccef
0,1,com/zaxxer/nuprocess/CatTest,setup,()V,1,CatTest.java,dc82e876f136f1a4c725294345202f1864468416
0,2,com/zaxxer/nuprocess/CatTest,lotOfProcesses,()V,1,CatTest.java,99d23188140f541b951de69d0b448c64e14fca22
0,3,com/zaxxer/nuprocess/CatTest,lotOfData,()V,1,CatTest.java,5ab2cc89637ea2edc4530e0810650b6f8a10a270
0,4,com/zaxxer/nuprocess/CatTest,decodingShortUtf8Data,()V,1,CatTest.java,175b2a05c7d84536d90e140c2e13903734ffd464
0,5,com/zaxxer/nuprocess/CatTest,decodingLongUtf8Data,()V,1,CatTest.java,9c7434f43028221a6ff696212ce7a8b35a84844c
0,6,com/zaxxer/nuprocess/CatTest,badExit,()V,1,CatTest.java,f82c51b52c350c0d520c03be23cf801cf11bd3de
0,7,com/zaxxer/nuprocess/CatTest,noExecutableFound,()V,1,CatTest.java,f405662012be06b903ea46b3e2a982a53bbcc1d4
0,8,com/zaxxer/nuprocess/CatTest,callbackOrder,()V,1,CatTest.java,12463ab7a2cc745c255b30076cbda7a19e6acb73
0,9,com/zaxxer/nuprocess/CatTest,changeCwd,()V,1,CatTest.java,249e998c3d681335ca87f488cd0da7d6f2f32cd9
0,10,com/zaxxer/nuprocess/CatTest,softCloseStdinAfterWrite,()V,1,CatTest.java,4147f7979c74bb511df48e0a07b70f19adc6c408
0,11,com/zaxxer/nuprocess/CatTest,getLotsOfBytes,()[B,10,CatTest.java,6d2a83d62bb1147887213ca439be01171a615e19
0,12,com/zaxxer/nuprocess/CatTest,getLotsOfBytes,(I)[B,8,CatTest.java,edb00476b6e0aa29daad14f160318632afdc7c32
0,13,com/zaxxer/nuprocess/CatTest,access$000,()[B,4104,CatTest.java,ba3f5f03028714d24beb5d0d9724c02d7bd329c6
1,14,com/zaxxer/nuprocess/NuProcessHandler,onPreStart,(Lcom/zaxxer/nuprocess/NuProcess;)V,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,15,com/zaxxer/nuprocess/NuProcessHandler,onStart,(Lcom/zaxxer/nuprocess/NuProcess;)V,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,16,com/zaxxer/nuprocess/NuProcessHandler,onExit,(I)V,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,17,com/zaxxer/nuprocess/NuProcessHandler,onStdout,(Ljava/nio/ByteBuffer;Z)V,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,18,com/zaxxer/nuprocess/NuProcessHandler,onStderr,(Ljava/nio/ByteBuffer;Z)V,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,19,com/zaxxer/nuprocess/NuProcessHandler,onStdinReady,(Ljava/nio/ByteBuffer;)Z,1025,NuProcessHandler.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
2,20,com/zaxxer/nuprocess/DirectWriteTest,<init>,()V,1,DirectWriteTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
2,21,com/zaxxer/nuprocess/DirectWriteTest,setup,()V,1,DirectWriteTest.java,05bc6a74577b3ee7cade0b8a5226bc2697ec98fd
2,22,com/zaxxer/nuprocess/DirectWriteTest,testDirectWrite,()V,1,DirectWriteTest.java,aac199227febc447bccf9b8fb150217a3fdf9c3e
2,23,com/zaxxer/nuprocess/DirectWriteTest,testDirectWriteBig,()V,1,DirectWriteTest.java,f678b8eeb16b4ea01c2906f10b5b9deb7f744826
2,24,com/zaxxer/nuprocess/DirectWriteTest,testFewWrites,()V,1,DirectWriteTest.java,f4db24b0b1de647c5e8528d08e8a5153670a6891
2,25,com/zaxxer/nuprocess/DirectWriteTest,testConsecutiveWrites,()V,1,DirectWriteTest.java,1669dbc84bc12d18aa8837de9b06c39075063e86
2,26,com/zaxxer/nuprocess/DirectWriteTest,lotOfDataSync,()V,1,DirectWriteTest.java,f907b073e8eb621924a940d80784f7cb417dd031
