ClassID,MethodID,ClassName,MethodName,MethodDesc,Access,SourceFileName,MethodHash
0,0,org/apache/commons/jxpath/BasicNodeSetTest,<init>,()V,1,BasicNodeSetTest.java,4b71acafe96ac627a61282536b1d61d22d9f31c7
0,1,org/apache/commons/jxpath/BasicNodeSetTest,setUp,()V,4,BasicNodeSetTest.java,95a255ab9f3e5d975c1d6ee66b595650a0662f8a
0,2,org/apache/commons/jxpath/BasicNodeSetTest,addPointers,(Ljava/lang/String;)V,4,BasicNodeSetTest.java,9116529743ee282e4982555b2cc97222e9a14536
0,3,org/apache/commons/jxpath/BasicNodeSetTest,removePointers,(Ljava/lang/String;)V,4,BasicNodeSetTest.java,a915c7ed24c302917afe246f09da50bd698aa5fc
0,4,org/apache/commons/jxpath/BasicNodeSetTest,nudge,()V,4,BasicNodeSetTest.java,3bcbf43a6a8df6b7602a5f0b80b8c41833a7d3f1
0,5,org/apache/commons/jxpath/BasicNodeSetTest,testAdd,()V,1,BasicNodeSetTest.java,53ccb9e3d8c6e38376fae743ec283199efe3451c
0,6,org/apache/commons/jxpath/BasicNodeSetTest,testRemove,()V,1,BasicNodeSetTest.java,f05f8d5c2ff9bdfce7336b85eec795c4317798a4
0,7,org/apache/commons/jxpath/BasicNodeSetTest,testNodes,()V,1,BasicNodeSetTest.java,805355db76baa036ba0ed2f4bfd165d47658af85
0,8,org/apache/commons/jxpath/BasicNodeSetTest,assertElementNames,(Ljava/util/List;Ljava/util/List;)V,4,BasicNodeSetTest.java,4057006fefb5c550cd6e2f02dc57633decb6d45b
0,9,org/apache/commons/jxpath/BasicNodeSetTest,assertElementValues,(Ljava/util/List;Ljava/util/List;)V,4,BasicNodeSetTest.java,86cdb8cd12fb9c9b0899ffc2acaf4cc3c6d07b2d
1,10,org/apache/commons/jxpath/JXPathTestCase,<init>,()V,1,JXPathTestCase.java,38fc5cfdf902da10cde2367a0ab288b02f8fa0b7
1,11,org/apache/commons/jxpath/JXPathTestCase,assertXPathValue,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;)V,4,JXPathTestCase.java,dd3769763dea58254881df0b9632a0499cb4bd1f
1,12,org/apache/commons/jxpath/JXPathTestCase,assertXPathValue,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Class;)V,4,JXPathTestCase.java,5f4f1697140f477547efbd6bd7fb289608ee29da
1,13,org/apache/commons/jxpath/JXPathTestCase,assertXPathValueLenient,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;)V,4,JXPathTestCase.java,1fd8a58ce99d285373f3c897a3bbb2663f9d1e46
1,14,org/apache/commons/jxpath/JXPathTestCase,assertXPathSetValue,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;)V,4,JXPathTestCase.java,c17141d305c8742a8ceee6fa84323a76d390c883
1,15,org/apache/commons/jxpath/JXPathTestCase,assertXPathSetValue,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,4,JXPathTestCase.java,900f7af3981d4d8b15abc2e7a3a2920cba356d1a
1,16,org/apache/commons/jxpath/JXPathTestCase,assertXPathCreatePath,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/String;)V,4,JXPathTestCase.java,76beb8e55453636404b91c4ab1fd70327c9f3334
1,17,org/apache/commons/jxpath/JXPathTestCase,assertXPathCreatePathAndSetValue,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/String;)V,4,JXPathTestCase.java,bb3e8d731d6c49b9b3f676719621d9dbe546fa6b
1,18,org/apache/commons/jxpath/JXPathTestCase,assertXPathPointer,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/String;)V,4,JXPathTestCase.java,374ebc1ed006afbbb05cd0aba6a34eda52cd9d76
1,19,org/apache/commons/jxpath/JXPathTestCase,assertXPathPointerLenient,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/String;)V,4,JXPathTestCase.java,541d263e1355713e7f8f5c6bd5de017e68406a63
1,20,org/apache/commons/jxpath/JXPathTestCase,assertXPathValueAndPointer,(Lorg/apache/commons/jxpath/JXPathContext;Ljava/lang/String;Ljava/lang/Object;Ljava/lang/String;)V,4,JXPathTestCase.java,afede6295a8b8f1f35d84581026cad032aac3d5d
