ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Item,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Item,Normal,1a39bb74bed5f392bf767ada9fa35c80bc7de720,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Item
1,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Response,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Response,Normal,bbc9cc839ba5c49cdc387cc246ea03cc0d8a3ea5,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute$Response
2,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute,com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute,Normal,1f7243777230e061dd9e6e1bcc65d6cf2be82a5b,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/adapters/TestIssue47Attribute
3,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/XmlTestBase,com/fasterxml/jackson/dataformat/xml/XmlTestBase,Normal,628424a98b37f6ec0c5d79dac25a3f9e110ba79b,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/XmlTestBase
4,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderSimpleTest,com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderSimpleTest,Normal,77316a6b61a5a506ce51ef4813dcdffd02c03196,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderSimpleTest
5,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderWithXmlText345Test,com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderWithXmlText345Test,Normal,f29b6df0fa7dff16e754f3f7e550dfa18a9d4e04,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/builder/BuilderWithXmlText345Test
6,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/CaseInsensitiveDeserTest,com/fasterxml/jackson/dataformat/xml/deser/CaseInsensitiveDeserTest,Normal,e9aa827e679b8de83e0505052276a9de5c92df39,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/CaseInsensitiveDeserTest
7,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/CoerceFromEmptyStringTest,com/fasterxml/jackson/dataformat/xml/deser/CoerceFromEmptyStringTest,Normal,324acb2ac48f339389a13a219b782b9b8b093ce6,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/CoerceFromEmptyStringTest
8,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceStringToIntsTest,com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceStringToIntsTest,Normal,cef141ce6d2aedfbc15172c3d386f7fa8f8de7c6,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceStringToIntsTest
9,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceToBooleanTest,com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceToBooleanTest,Normal,6086d43b03bcc9f2aca9d406bf33f6b72861d129,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/convert/CoerceToBooleanTest
10,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/creator/NestedSingleArgCtors547Test,com/fasterxml/jackson/dataformat/xml/deser/creator/NestedSingleArgCtors547Test,Normal,495c7c50b9438112c734d38c1b097bee538a2751,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/creator/NestedSingleArgCtors547Test
11,file:/mnt/c/Users/fujiwara%20yuma/jackson-dataformat-xml/target/test-classes/,com/fasterxml/jackson/dataformat/xml/deser/creator/NoArgCtorDeser491Test,com/fasterxml/jackson/dataformat/xml/deser/creator/NoArgCtorDeser491Test,Normal,3ddd90cdf8388ebf6b54a4467d456773dc8e8ac6,Loader@251a69d7:com/fasterxml/jackson/dataformat/xml/deser/creator/NoArgCtorDeser491Test
