ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest,org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest,Normal,6d9ebc2634fe8611b5c2497d2bee92ff5a22fb82,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest
1,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestAssemblyLabels,org/adoptopenjdk/jitwatch/test/TestAssemblyLabels,Normal,98a23b0dfbc40a949fe3f05396dd7926865337d2,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestAssemblyLabels
2,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestAssemblyParserARM,org/adoptopenjdk/jitwatch/test/TestAssemblyParserARM,Normal,49584acaf9e6d067af96fef12ffaf058734eb913,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestAssemblyParserARM
3,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestAssemblyParserX86,org/adoptopenjdk/jitwatch/test/TestAssemblyParserX86,Normal,67a39f01878e86edd69d46c8ac2435463896389b,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestAssemblyParserX86
4,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest$OperandType,org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest$OperandType,Normal,3054bbd3c2795dd660bc17db54cd070c3f84f321,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/AbstractAssemblyTest$OperandType
5,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestAssemblyProcessor,org/adoptopenjdk/jitwatch/test/TestAssemblyProcessor,Normal,80888339525dd6ef2f862039ed3cde4cced38a49,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestAssemblyProcessor
6,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/model/assembly/AssemblyProcessor,org/adoptopenjdk/jitwatch/model/assembly/AssemblyProcessor,Normal,6264eb33fc8404ddce62cadbbf8b08d5f5e7c498,Loader@251a69d7:org/adoptopenjdk/jitwatch/model/assembly/AssemblyProcessor
7,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/test-classes/,org/adoptopenjdk/jitwatch/test/TestBytecodeAnnotationBuilder,org/adoptopenjdk/jitwatch/test/TestBytecodeAnnotationBuilder,Normal,08615792c2f6828c3f72fe1a497967fe847ce35e,Loader@251a69d7:org/adoptopenjdk/jitwatch/test/TestBytecodeAnnotationBuilder
8,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/model/IMetaMember,org/adoptopenjdk/jitwatch/model/IMetaMember,Normal,1203a3072309496ed1d148e40fb8ed205a296169,Loader@251a69d7:org/adoptopenjdk/jitwatch/model/IMetaMember
9,file:/mnt/c/Users/fujiwara%20yuma/jitwatch/core/target/classes/,org/adoptopenjdk/jitwatch/model/IReadOnlyJITDataModel,org/adoptopenjdk/jitwatch/model/IReadOnlyJITDataModel,Normal,b4e31aef2263ba5cdcd85ba7543b4dd30d2ffe3f,Loader@251a69d7:org/adoptopenjdk/jitwatch/model/IReadOnlyJITDataModel
