rev, All, Ekstazi, rts-trace
rev_1,  19.297,  25.998,  11.318
rev_2,  11.443,  7.931, 7.908
rev_3,  10.986,  8.033, 10.906
rev_4,  11.021,  8.246, 11.769
rev_5,  14.362,  7.926, 11.321
rev_6,  13.246,  7.614, 7.961
rev_7,  10.707,  8.124, 9.714
rev_8,  8.818,  8.450, 8.095
rev_9,  9.301,  8.971, 10.587
rev_10,  9.662,  14.567,  8.938
rev_11,  9.462,  8.877,  11.441
rev_12,  10.868,  14.492,  11.532
rev_13,  9.424,  11.433,  7.342
rev_14,  11.677,  9.417,  10.959
rev_15,  21.242,  9.309,  10.725
rev_16,  10.998,  9.515,  10.189
rev_17,  11.879,  12.643,  13.420
rev_18,  11.194,  11.719,  10.256
rev_19,  12.776,  10.706,  10.560
rev_20,  10.679,  11.866, 13.045
rev_21,  11.021,  9.477, 8.723
rev_22,  21.537,  16.420, 8.706
rev_23,  12.847,  9.305, 11.794
rev_24,  9.879,  10.824, 10.036
rev_25,  8.649,  8.489, 7.745
rev_26,  8.423,  10.733, 12.431
rev_27,  8.855,  8.472, 7.941
rev_28,  8.529,  11.700, 13.281
rev_29,  10.611,  10.790, 11.695
rev_30,  10.544,  8.163, 15.768
rev_31,  20.228,  8.062, 8.789
rev_32,  18.259,  9.167, 11.671
rev_33,  12.829,  9.360, 12.928
rev_34,  12.133,  10.382, 11.728
rev_35,  27.549,  9.811, 12.817
rev_36,  17.052,  9.601, 11.142
rev_37,  10.307,  10.518, 11.357
rev_38,  10.638,  9.641, 10.459
rev_39,  10.378,  9.481, 11.060
rev_40,  10.536,  8.901, 10.046
rev_41,  14.092,  8.881, 8.326
rev_42,  11.141,  8.469, 11.094
rev_43,  22.241,  8.517, 11.111
rev_44,  18.998,  8.568, 8.247
rev_45, fail, fail
rev_46,  13.777,  8.455, 11.202
rev_47,  12.476,  8.603, 7.737
rev_48,  28.507,  8.712, 10.572
rev_49,  15.976,  10.187, 11.402
rev_50,  12.201,  9.084, 7.607
