rev, All, Ekstazi, rts-trace
rev_1, fail
rev_2, fail
rev_3, fail
rev_4, fail
rev_5, fail
rev_6, fail
rev_7, fail
rev_8, fail
rev_9, fail
rev_10, fail
rev_11, fail
rev_12, fail
rev_13, fail
rev_14, fail
rev_15, fail
rev_16, fail
rev_17, fail
rev_18,  24.353,  21.360,  42.246
rev_19,  23.997,  17.385,  11.700
rev_20,  20.692,  17.995, 24.779
rev_21,  23.052,  33.860, 17.176
rev_22,  20.051,  20.087, 15.067
rev_23,  19.140,  17.740, 30.779
rev_24,  19.034,  14.049, 21.551
rev_25,  18.831,  15.532, 13.924
rev_26,  19.181,  14.022, 25.016
rev_27,  19.175,  20.635, 28.494
rev_28,  18.581,  15.174, 13.398
rev_29,  18.631,  15.161, 14.486
rev_30,  19.686,  14.932, 31.707
rev_31,  19.291,  15.333, 21.665
rev_32,  20.503,  17.102, 36.062
rev_33,  18.980,  19.414, 37.546
rev_34,  18.939,  16.172, 25.629
rev_35,  19.402,  13.850, 14.917
rev_36,  19.031,  15.168, 31.998
rev_37,  19.074,  19.393, 27.067
rev_38,  19.239,  13.695, 13.653
rev_39,  19.135,  19.365, 21.002
rev_40,  19.211,  14.979, 13.449
rev_41,  18.935,  15.344, 23.681
rev_42,  16.181,  13.131, 37.995
rev_43,  15.790,  12.431, 20.573
rev_44,  16.278,  12.140, 13.872
rev_45,  16.073,  12.683, 13.150
rev_46,  15.994,  12.910, 34.914
rev_47,  16.075,  12.269, 29.824
rev_48,  15.606,  11.937, 28.298
rev_49,  15.587,  15.100, 34.460
rev_50,  15.767,  17.458, 28.393
