rev, All, Ekstazi, rts-trace
rev_1, 121, 121, 148
rev_2, 125,  18.132, 24.331
rev_3, 120,  17.821, 17.811
rev_4, 120, 66, 23.351
rev_5, 121,  16.128, 24.754
rev_6, 119,  16.625, 20.349
rev_7, 118,  18.946, 19.186
rev_8, 119,  16.620, 14.250
rev_9, 117,  16.090, 22.334
rev_10, 118,  16.295,  12.717
rev_11, 118,  16.519,  12.583
rev_12, 119,  16.884,  12.451
rev_13, 121,  16.934,  12.594
rev_14, 119,  26.203,  12.399
rev_15, 120,  16.195,  16.198
rev_16, 120,  18.608,  16.351
rev_17, 120,  17.969,  15.001
rev_18, 121,  21.532,  12.860
rev_19, 119,  18.709,  15.797
rev_20, 119,  17.692, 19.065
rev_21, 121,  19.797, 14.805
rev_22, 121,  17.635, 14.323
rev_23, 118,  17.940, 17.539
rev_24, 126,  17.283, 17.347
rev_25, 130,  18.448, 14.093
rev_26, 141,  18.381, 14.326
rev_27, 135,  20.341, 14.408
rev_28, 127,  19.753, 16.863
rev_29, 128,  27.434, 27.296
rev_30, 128, 74, 26.379
rev_31, 126,  27.828, 15.214
rev_32, 126,  19.740, 18.740
rev_33, 126,  19.056, 24.124
rev_34, 127,  17.666, 14.386
rev_35, 126,  19.655, 14.254
rev_36, 127,  19.351, 16.796
rev_37, 127,  17.323, 18.577
rev_38, 128,  17.870, 14.306
rev_39, 127, 121, 14.386
rev_40, 127,  18.195, 16.441
rev_41, 127,  31.860, 29.373
rev_42, 126,  18.319, 14.001
rev_43, 126,  18.594, 23.939
rev_44, 128,  22.029, 15.753
rev_45, 126, 65, 21.519
rev_46, 125, 73, 15.244
rev_47, 127,  19.085, 22.753
rev_48, 127,  19.532, 17.767
rev_49, 127,  19.893, 15.952
rev_50, 128,  25.782, 25.108
