rev, All, Ekstazi, rts-trace
rev_1, fail
rev_2, fail
rev_3, fail
rev_4, fail
rev_5, fail
rev_6, fail
rev_7, fail
rev_8, fail
rev_9, fail
rev_10, fail
rev_11, fail
rev_12, fail
rev_13, fail
rev_14, fail
rev_15, fail
rev_16, fail
rev_17, fail
rev_18, fail
rev_19, fail
rev_20, fail
rev_21, fail
rev_22, fail
rev_23, fail
rev_24, fail
rev_25, fail
rev_26, fail
rev_27, fail
rev_28, fail
rev_29, fail
rev_30, fail
rev_31, 72, 76, 
rev_32, fail, fail
rev_33, 72,  45.172, 21.035
rev_34, 65,  46.562, 21.050
rev_35, 72,  4.863, 5.273
rev_36, 73,  5.071, 42.603
rev_37, 72, 72, 64.479
rev_38, 72, 72, 68.406
rev_39, fail
rev_40, 70, 75, 69.988
rev_41, 75, 80, 67.747
rev_42, 75, 76, 67.855
rev_43, 74,  5.190, 5.479
rev_44, 74, 76, 67.668
rev_45, 78, 78, 69.908
rev_46, 77, 77, 68.760
rev_47, 69, 75, 65.672
rev_48, 74, 77, 70.543
rev_49, 74,  7.913, 68.567
rev_50, 74, 77, 68.621
