rev, All, Ekstazi, rts-trace
rev_1,  19.297,  25.998,  15.947
rev_2,  11.443,  7.931, 9.755
rev_3,  10.986,  8.033, 13.159
rev_4,  11.021,  8.246, 13.981
rev_5,  14.362,  7.926, 13.260
rev_6,  13.246,  7.614, 9.875
rev_7,  10.707,  8.124, 11.982
rev_8,  8.818,  8.450, 9.772
rev_9,  9.301,  8.971, 12.534
rev_10,  9.662,  14.567,  10.722
rev_11,  9.462,  8.877,  13.002
rev_12,  10.868,  14.492,  13.051
rev_13,  9.424,  11.433,  8.923
rev_14,  11.677,  9.417,  11.004
rev_15,  21.242,  9.309,  11.971
rev_16,  10.998,  9.515,  12.027
rev_17,  11.879,  12.643,  16.985
rev_18,  11.194,  11.719,  13.465
rev_19,  12.776,  10.706,  14.970
rev_20,  10.679,  11.866, 17.816
rev_21,  11.021,  9.477, 15.641
rev_22,  21.537,  16.420, 13.069
rev_23,  12.847,  9.305, 18.690
rev_24,  9.879,  10.824, 13.181
rev_25,  8.649,  8.489, 11.562
rev_26,  8.423,  10.733, 17.633
rev_27,  8.855,  8.472, 11.093
rev_28,  8.529,  11.700, 17.443
rev_29,  10.611,  10.790, 13.571
rev_30,  10.544,  8.163, 14.642
rev_31,  20.228,  8.062, 8.882
rev_32,  18.259,  9.167, 11.537
rev_33,  12.829,  9.360, 13.135
rev_34,  12.133,  10.382, 12.569
rev_35,  27.549,  9.811, 15.846
rev_36,  17.052,  9.601, 11.429
rev_37,  10.307,  10.518, 11.465
rev_38,  10.638,  9.641, 10.639
rev_39,  10.378,  9.481, 12.020
rev_40,  10.536,  8.901, 10.096
rev_41,  14.092,  8.881, 8.069
rev_42,  11.141,  8.469, 10.957
rev_43,  22.241,  8.517, 11.713
rev_44,  18.998,  8.568, 8.903
rev_45, fail, fail
rev_46,  13.777,  8.455, 11.599
rev_47,  12.476,  8.603, 9.211
rev_48,  28.507,  8.712, 11.690
rev_49,  15.976,  10.187, 12.354
rev_50,  12.201,  9.084, 9.393
