rev, All, Ekstazi, rts-trace
rev_1, fail
rev_2, fail
rev_3, fail
rev_4, fail
rev_5, fail
rev_6, fail
rev_7, fail
rev_8, fail
rev_9, fail
rev_10, fail
rev_11, fail
rev_12, fail
rev_13, fail
rev_14, fail
rev_15, fail
rev_16, fail
rev_17, fail
rev_18,  24.353,  21.360,  40.373
rev_19,  23.997,  17.385,  14.923
rev_20,  20.692,  17.995, 25.779
rev_21,  23.052,  33.860, 52.466
rev_22,  20.051,  20.087, 41.193
rev_23,  19.140,  17.740, 45.872
rev_24,  19.034,  14.049, 18.441
rev_25,  18.831,  15.532, 16.935
rev_26,  19.181,  14.022, 16.044
rev_27,  19.175,  20.635, 36.306
rev_28,  18.581,  15.174, 15.058
rev_29,  18.631,  15.161, 18.787
rev_30,  19.686,  14.932, 16.322
rev_31,  19.291,  15.333, 17.243
rev_32,  20.503,  17.102, 48.319
rev_33,  18.980,  19.414, 15.429
rev_34,  18.939,  16.172, 30.264
rev_35,  19.402,  13.850, 14.661
rev_36,  19.031,  15.168, 17.232
rev_37,  19.074,  19.393, 30.683
rev_38,  19.239,  13.695, 16.338
rev_39,  19.135,  19.365, 25.236
rev_40,  19.211,  14.979, 15.830
rev_41,  18.935,  15.344, 25.197
rev_42,  16.181,  13.131, 13.432
rev_43,  15.790,  12.431, 13.365
rev_44,  16.278,  12.140, 14.418
rev_45,  16.073,  12.683, 15.443
rev_46,  15.994,  12.910, 39.125
rev_47,  16.075,  12.269, 13.099
rev_48,  15.606,  11.937, 41.523
rev_49,  15.587,  15.100, 43.098
rev_50,  15.767,  17.458, 43.566
