rev, All, Ekstazi, rts-trace
rev_1, 121, 121, 142
rev_2, 125,  18.132, fail
rev_3, 120,  17.821, 14.112
rev_4, 120, 66, 19.070
rev_5, 121,  16.128, 19.412
rev_6, 119,  16.625, 19.308
rev_7, 118,  18.946, 19.824
rev_8, 119,  16.620, 16.751
rev_9, 117,  16.090, 22.682
rev_10, 118,  16.295,  16.013
rev_11, 118,  16.519,  15.694
rev_12, 119,  16.884,  20.750
rev_13, 121,  16.934,  13.070
rev_14, 119,  26.203,  16.861
rev_15, 120,  16.195,  12.950
rev_16, 120,  18.608,  12.901
rev_17, 120,  17.969,  12.833
rev_18, 121,  21.532,  12.887
rev_19, 119,  18.709,  16.331
rev_20, 119,  17.692, 17.489
rev_21, 121,  19.797, 17.343
rev_22, 121,  17.635, 14.297
rev_23, 118,  17.940, 17.017
rev_24, 126,  17.283, 14.263
rev_25, 130,  18.448, 18.555
rev_26, 141,  18.381, 14.455
rev_27, 135,  20.341, 14.497
rev_28, 127,  19.753, 17.727
rev_29, 128,  27.434, 25.068
rev_30, 128, 74, 24.824
rev_31, 126,  27.828, 14.241
rev_32, 126,  19.740, 16.707
rev_33, 126,  19.056, 16.556
rev_34, 127,  17.666, 17.059
rev_35, 126,  19.655, 17.106
rev_36, 127,  19.351, 17.064
rev_37, 127,  17.323, 17.143
rev_38, 128,  17.870, fail
rev_39, 127, 121, 29.940
rev_40, 127,  18.195, 34.017
rev_41, 127,  31.860, 32.397
rev_42, 126,  18.319, 16.336
rev_43, 126,  18.594, 27.350
rev_44, 128,  22.029, 14.652
rev_45, 126, 65, 69.044
rev_46, 125, 73, 14.457
rev_47, 127,  19.085, 26.574
rev_48, 127,  19.532, 14.700
rev_49, 127,  19.893, 14.740
rev_50, 128,  25.782, 24.200
