rev, Ekstazi, rts-trace
rev_1,  8.297, fail
rev_2,  3.816,  4.446
rev_3,  7.826,  7.947
rev_4,  7.725,  9.150
rev_5,  7.868,  8.951
rev_6,  3.879,  4.694
rev_7,  7.385,  7.694
rev_8,  3.800,  3.840
rev_9,  3.836,  7.984
rev_10,  6.347,  6.024
rev_11,  6.654,  6.697
rev_12,  7.330,  7.050
rev_13,  7.535,  2.937
rev_14,  6.910,  6.937
rev_15,  6.636,  6.609
rev_16,  7.023,  6.794
rev_17,  7.653,  7.706
rev_18,  6.305,  6.504
rev_19,  6.820,  7.011
rev_20,  7.432,  7.089
rev_21,  2.664,  2.629
rev_22,  7.154,  2.486
rev_23,  2.444,  8.525
rev_24,  5.971,  5.334
rev_25,  2.390,  2.510
rev_26,  6.032,  7.423
rev_27,  2.446,  2.507
rev_28,  5.882,  6.877
rev_29,  5.943,  6.136
rev_30,  2.430,  8.477
rev_31,  2.324,  2.506
rev_32,  5.834,  5.658
rev_33,  6.633,  5.949
rev_34,  5.671,  5.683
rev_35,  6.060,  6.125
rev_36,  5.988,  5.427
rev_37,  5.562,  6.475
rev_38,  5.388,  6.001
rev_39,  5.549,  5.676
rev_40,  5.291,  5.699
rev_41,  2.358,  2.300
rev_42,  2.439,  8.789
rev_43,  2.363,  7.686
rev_44,  2.319,  2.516
rev_45,  2.359
rev_46,  5.498,  5.627
rev_47,  2.297,  2.283
rev_48,  5.653,  5.488
rev_49,  5.938,  6.141
rev_50,  2.450,  2.562
