rev, Ekstazi, rts-trace
rev_18,  19.259, fail
rev_19,  15.376,  3.790
rev_20,  15.547,  10.159
rev_21,  18.615,  15.130
rev_22,  7.127,  13.583
rev_23,  13.595,  13.295
rev_24,  7.195,  3.517
rev_25,  7.081,  3.910
rev_26,  7.296,  3.002
rev_27,  17.681,  11.290
rev_28,  7.143,  3.122
rev_29,  7.133,  3.758
rev_30,  6.988,  3.030
rev_31,  7.440,  3.133
rev_32,  14.496,  11.301
rev_33,  17.808,  2.760
rev_34,  15.399,  8.505
rev_35,  7.396,  2.850
rev_36,  14.419,  7.295
rev_37,  17.766,  10.621
rev_38,  7.220,  3.363
rev_39,  17.772,  8.791
rev_40,  7.152,  3.005
rev_41,  13.005,  7.527
rev_42,  7.002,  2.811
rev_43,  6.970,  2.894
rev_44,  7.168,  2.990
rev_45,  6.857,  3.183
rev_46,  12.061,  10.475
rev_47,  6.964,  2.920
rev_48,  7.226,  14.134
rev_49,  13.836,  10.751
rev_50,  14.432,  10.373
