rev, Ekstazi, rts-trace
rev_1, 123, fail
rev_2,  7.888, fail
rev_3,  7.901,  4.216
rev_4,  55.729,  10.193
rev_5,  13.614,  8.467
rev_6,  13.567,  7.975
rev_7,  14.216,  8.039
rev_8,  13.796,  3.537
rev_9,  13.457,  8.178
rev_10,  7.797,  3.497
rev_11,  7.996,  3.448
rev_12,  13.342,  8.139
rev_13,  8.030,  3.597
rev_14,  20.444,  8.311
rev_15,  8.195,  3.491
rev_16,  10.032,  3.583
rev_17,  7.984,  3.441
rev_18,  7.729,  3.452
rev_19,  14.018,  8.451
rev_20,  14.051,  8.243
rev_21,  14.104,  8.327
rev_22,  8.104,  3.496
rev_23,  13.879,  8.263
rev_24,  7.969,  3.474
rev_25,  13.797,  8.277
rev_26,  8.221,  3.508
rev_27,  7.944,  3.620
rev_28,  14.199,  8.345
rev_29,  22.171,  13.215
rev_30, 70,  13.110
rev_31,  21.976,  3.624
rev_32,  14.036,  8.245
rev_33,  13.719,  8.554
rev_34,  13.998,  8.208
rev_35,  14.184,  8.115
rev_36,  14.353,  8.294
rev_37,  14.057,  8.291
rev_38,  8.239, fail
rev_39, 111,  12.742
rev_40,  8.838,  16.448
rev_41,  24.586,  14.926
rev_42,  14.378,  3.541
rev_43,  8.071,  18.460
rev_44,  7.851,  3.458
rev_45, 61,  56.968
rev_46, 65,  3.446
rev_47,  8.043,  16.388
rev_48,  7.946,  3.343
rev_49,  7.851,  3.375
rev_50,  20.498,  12.347
