rev, Ekstazi, rts-trace
rev_1,  16.107, fail
rev_2,  7.328,  1.800
rev_3,  7.380,  1.604
rev_4,  5.753,  2.959
rev_5,  2.813,  1.652
rev_6,  2.741,  7.212
rev_7,  7.474,  1.557
rev_8,  7.323, fail
rev_9,  7.710,  4.848
rev_10,  7.203, fail
rev_11,  7.993,  4.861
rev_12,  3.076,  6.837
rev_13,  9.697,  7.149
rev_15,  9.599,  3.115
rev_16,  2.783,  1.682
rev_17,  2.767,  5.358
rev_18,  10.198,  7.082
rev_19,  2.868,  1.752
rev_20,  2.743,  1.633
rev_21,  5.867,  2.979
rev_22,  5.750,  2.995
rev_23,  5.967,  2.949
rev_24,  5.967,  3.040
rev_25,  2.771,  1.695
