rev, Ekstazi, rts-trace
rev_6,  29.388, fail
rev_7,  14.436,  5.087
rev_8,  17.675,  14.330
rev_9,  17.516,  17.309
rev_17,  18.540, fail
rev_18,  14.146,  13.828
rev_19,  18.693,  5.063
rev_20,  5.455, fail
rev_21,  23.480,  17.774
rev_22,  6.138,  4.939
rev_23,  22.676,  16.260
rev_24,  16.202,  18.156
rev_25,  5.565,  5.075
rev_26,  18.941,  14.181
rev_27,  25.046,  5.112
rev_28,  14.868,  15.897
rev_45,  29.267,  17.992
rev_46,  21.224, fail
rev_47,  33.697,  13.311
rev_48,  19.231,  14.677
rev_49,  16.155,  13.397
rev_50,  21.463,  18.090
